method,mean_initial,sd_initial,alpha,mean_vi,sd_vi,elbo,vi_stepsched
CSVI_RSD,0.009601216561664,4.63736351242387,200,9.2800043411098,15.767893634554124,-5.218713649956165,5
CSVI_RSD,-0.002991179991752,1.70268670806751,200,0.0036883685776666866,2.001223483729006,-0.35479650105641936,5
CSVI_RSD,-0.043081567545231,2.3291376684614797,200,0.0017603047425849637,1.9939462053130137,-0.3343015763551018,5
CSVI_RSD,0.040935442393885,2.07208456486764,200,-0.012354072468262383,1.9911288955351363,-0.34880671127214447,5
CSVI_RSD,0.07139392354135901,0.7249437095031729,200,-0.0032033077049479527,1.9947774010987571,-0.34377305590444474,5
CSVI_RSD,-0.024866618082204,0.6974724557468471,200,-0.005024515180991346,1.9899137195994667,-0.3509208302073099,5
CSVI_RSD,0.034625965096301003,1.0589537786135699,200,0.001449882979999507,1.9995749594473131,-0.32870805609438314,5
CSVI_RSD,-0.0041670403585429994,2.19396235514384,200,0.0033316398598249425,1.9955653712814427,-0.3560155885590959,5
CSVI_RSD,-0.008056176622257,4.60567123433412,200,0.008536974726555055,1.9911008261225223,-0.34733836235022464,5
CSVI_RSD,0.024281740238197003,0.8783216874207959,200,0.005516773854941697,2.000630732036479,-0.3421150511742419,5
CSVI_RSD,0.013913160809815,2.2714838967624,200,0.0010505362094189639,2.0082601346096682,-0.3540812808332334,5
CSVI_RSD,-0.034356498319544994,4.28657543968155,200,-0.00043543216891673154,2.0011778043502453,-0.3873603802478689,5
CSVI_RSD,0.091397912106314,4.241006126783359,200,-0.0059854173654654026,1.9925901894594207,-0.35921400330325115,5
CSVI_RSD,0.07151587836607401,1.14288200572582,200,0.0017192086217381398,2.0037172076695415,-0.35401122870344626,5
CSVI_RSD,-0.013625218626404,0.7901308469499729,200,-0.003229353196704819,1.9999053109064229,-0.3314789881024245,5
CSVI_RSD,0.005205329150993,2.8228844669498803,200,0.0070825871466347655,1.9973456569178056,-0.34991892410444647,5
CSVI_RSD,-0.05381253169992099,0.5791156114823249,200,-0.0051941945447477105,1.9999514086256314,-0.38242614994592206,5
CSVI_RSD,0.08202954945896901,0.546034142629611,200,0.007262859629399042,1.9972107163346429,-0.36492527727502955,5
CSVI_RSD,0.09458846286949602,2.4118780161488798,200,0.0009878581924130587,2.0073297758739788,-0.38473316139060865,5
CSVI_RSD,0.053634011319581995,3.9585794547210096,200,0.0037114920964886684,1.9973063289840705,-0.3629080574453183,5
CSVI_RSD,-0.014066136085988001,1.23858516793277,200,-0.0014725782696368979,2.0113159016258937,-0.37619716464333885,5
CSVI_RSD,0.015616454943448,1.58131692383515,200,0.0072384538867182715,2.005150332024093,-0.3362760077976614,5
CSVI_RSD,0.100959278155351,1.17361814047728,200,0.007189383648374512,1.9968157979759005,-0.32399977926377455,5
CSVI_RSD,-0.005384329103777,0.617142685770016,200,-0.00035308711639912876,2.0036838529867116,-0.3566071808790845,5
CSVI_RSD,0.027794095503404,1.31280080344072,200,0.01116396815650381,2.0001813269202304,-0.3697241259289483,5
CSVI_RSD,-0.04480092214058099,2.5475956954851697,200,-0.0016862591298198023,1.997269003418934,-0.38164628680096735,5
CSVI_RSD,0.050129317595716,1.17035523929054,200,0.0069937957454661945,2.006096298669705,-0.3478579656538927,5
CSVI_RSD,0.010812021883225999,4.9637243814897,200,-0.001609748820457611,2.009453162054676,-0.35714308637012016,5
CSVI_RSD,-0.014767080048361,0.900567222683274,200,-0.002160673344598781,1.9982621405995582,-0.33962106039188367,5
CSVI_RSD,-0.067540428766174,2.4224410966026095,200,-0.0043947480670599535,1.9975669393541278,-0.35815638862871335,5
CSVI_RSD,-0.005124205714163,1.89140512800231,200,0.0028339491452647908,1.9968899062960925,-0.303614258532916,5
CSVI_RSD,-0.031681017392955,3.25557650743944,200,-0.008329712670927678,1.9853199306442109,-0.3508652964153449,5
CSVI_RSD,0.016072602272423,2.3895150322620298,200,-0.005356377975064346,2.000593400670465,-0.35464781698373926,5
CSVI_RSD,-0.05686339039737699,0.6200747917650071,200,0.0104478547872276,2.0037287470516465,-0.3775067905391545,5
CSVI_RSD,-0.041276980153024,1.08388917798198,200,0.0007291693605167359,2.001215724455119,-0.34791971733777105,5
CSVI_RSD,0.088017250530948,1.69823225111238,200,-0.00465976389088513,2.0036691331689034,-0.35198652548997833,5
CSVI_RSD,0.04998620419317801,0.941796858335758,200,0.008506542607426735,2.002722200720811,-0.3438561837923535,5
CSVI_RSD,-0.006418621442591,0.6190346891185141,200,-0.0008595561820844133,2.0014416659333722,-0.3736291594490111,5
CSVI_RSD,-0.162139949096924,0.76442492601403,200,-0.005004021075732803,2.0013393829445767,-0.3730873151102858,5
CSVI_RSD,0.014257246032221999,2.16346654578649,200,-0.004818582614567454,2.001569529821381,-0.33917188422725664,5
CSVI_RSD,0.013432235824076998,1.11372838604342,200,0.005110799957791816,1.9980271317076201,-0.35365283456012264,5
CSVI_RSD,-0.015567058802296002,2.049267546962,200,0.0040299430681120735,2.0059698352536297,-0.34003907572653613,5
CSVI_RSD,0.00529692392371,3.1213377773104303,200,0.006447950167617827,1.9917410664818835,-0.2762577864084763,5
CSVI_RSD,-0.013628965738776,0.668422766603582,200,0.001782706206816856,2.0060088856954312,-0.3670946926892449,5
CSVI_RSD,-0.013063058449507,1.46353790470715,200,0.005505389637136947,1.9976416068488305,-0.3471319595199893,5
CSVI_RSD,-0.021285238790891003,0.5279509335516239,200,0.0012948876918863162,1.9889591864699074,-0.37949351576776413,5
CSVI_RSD,-0.070629365818928,2.1113265511335,200,0.012949659690676494,2.01061933795095,-0.3187346412872327,5
CSVI_RSD,-0.01255906893838,4.64469288406401,200,0.007438220349786192,2.0055292757498355,-0.36562068185126817,5
CSVI_RSD,0.09537957832339698,1.02390477881775,200,-0.003084679244570715,1.9936869173054965,-0.3614637953445321,5
CSVI_RSD,0.096816011091139,1.22997260443477,200,-0.005234770927732992,2.0020021298178574,-0.3083627190371998,5
