method,mean_initial,sd_initial,alpha
CSVI,-0.000529036788804,1,100
CSVI,-0.001136425477781,1,100
CSVI,-9.56640251922518E-05,1,100
CSVI,0.340557512657761,1,100
CSVI,-0.004235686534949,1,100
CSVI,-0.151683610306855,1,100
CSVI,-0.000317599411533,1,100
CSVI,0.003381151813122,1,100
CSVI,0.003418625067471,1,100
CSVI,-0.400600388189151,1,100
CSVI,-0.002081251644461,1,100
CSVI,-0.002515424658282,1,100
CSVI,-0.006798294935631,1,100
CSVI,0.002285181390468,1,100
CSVI,0.005709031727752,1,100
CSVI,-0.001049712484201,1,100
CSVI,-0.002489668023285,1,100
CSVI,9.43261629231734E-05,1,100
CSVI,-0.002803419966641,1,100
CSVI,-0.000204081426565,1,100
CSVI,0.00083491125394,1,100
CSVI,0.000504675749773,1,100
CSVI,-0.041279037146791,1,100
CSVI,0.000955163691568,1,100
CSVI,-0.002863864904628,1,100
CSVI,-0.003492904997924,1,100
CSVI,-0.003170323874854,1,100
CSVI,-0.000913527926252,1,100
CSVI,0.005094538253108,1,100
CSVI,0.001942669571129,1,100
CSVI,0.001030922862511,1,100
CSVI,0.001297428591478,1,100
CSVI,0.00095004272297,1,100
CSVI,-0.002409837020181,1,100
CSVI,-0.002512810118032,1,100
CSVI,0.00070675026476,1,100
CSVI,1.09080225939217,1,100
CSVI,3.14596345408679E-05,1,100
CSVI,0.001920307780782,1,100
CSVI,0.002285506408972,1,100
CSVI,0.003428820127652,1,100
CSVI,-0.005798606486196,1,100
CSVI,-0.005231528790068,1,100
CSVI,-0.00111502366271,1,100
CSVI,-0.036727181843012,1,100
CSVI,0.00293825695109,1,100
CSVI,0.004444548262014,1,100
CSVI,-0.002915608031336,1,100
CSVI,-0.070315569937994,1,100
CSVI,-0.002239476213101,1,100
CSVI,0.014518264817354,1,100
CSVI,0.042334866185277,1,100
CSVI,-0.006098437733372,1,100
CSVI,-0.001626360425205,1,100
CSVI,0.002670541314568,1,100
CSVI,-0.003922637692187,1,100
CSVI,0.002167911895538,1,100
CSVI,-0.002870124787222,1,100
CSVI,-0.000154604267034,1,100
CSVI,-0.000738028902751,1,100
CSVI,-0.000467824437229,1,100
CSVI,-0.319172279783451,1,100
CSVI,-0.00306196152767,1,100
CSVI,0.277619003961475,1,100
CSVI,-0.447115606474036,1,100
CSVI,-0.001593466239655,1,100
CSVI,0.000510508847943,1,100
CSVI,0.002144464392696,1,100
CSVI,-0.004751315233833,1,100
CSVI,-0.001112502441953,1,100
CSVI,-0.002830905550092,1,100
CSVI,0.001675203473084,1,100
CSVI,0.005408038427968,1,100
CSVI,0.000412572316864,1,100
CSVI,-0.001222782288288,1,100
CSVI,0.002131116151258,1,100
CSVI,0.00422055826019,1,100
CSVI,-0.06230199454648,1,100
CSVI,-0.054225432093504,1,100
CSVI,-0.000652783974878,1,100
CSVI,-0.004734052644278,1,100
CSVI,-0.00104197515012,1,100
CSVI,0.001144663783905,1,100
CSVI,0.002018635530321,1,100
CSVI,-0.00370927292819,1,100
CSVI,0.002983607772647,1,100
CSVI,-0.000324368597041,1,100
CSVI,-0.002506914135362,1,100
CSVI,0.00076403057771,1,100
CSVI,-0.000978092712728,1,100
CSVI,0.000639119220434,1,100
CSVI,0.00316396605976,1,100
CSVI,0.00241443528265,1,100
CSVI,-0.033701371680849,1,100
CSVI,-0.004508236627968,1,100
CSVI,0.009690003337767,1,100
CSVI,-0.001788145432804,1,100
CSVI,0.004156346206774,1,100
CSVI,-0.000645393915685,1,100
CSVI,-0.10825135668373,1,100
CSVI,-30.0107590138356,1,10
CSVI,-30.0039819729608,1,10
CSVI,-29.9991999803206,1,10
CSVI,30.0016587645369,1,10
CSVI,-29.9986578978542,1,10
CSVI,30.0086568384829,1,10
CSVI,29.9947391546392,1,10
CSVI,30.0009308982657,1,10
CSVI,-30.0006151965737,1,10
CSVI,-29.9974272021941,1,10
CSVI,0.001551134726447,1,10
CSVI,-29.9972876211104,1,10
CSVI,0.006387235815941,1,10
CSVI,-29.9991047084997,1,10
CSVI,-30.001036184008,1,10
CSVI,29.9927377655505,1,10
CSVI,29.9940495633081,1,10
CSVI,-30.0048044049955,1,10
CSVI,-0.003657094782834,1,10
CSVI,29.9993516970957,1,10
CSVI,29.9943004198344,1,10
CSVI,29.9958986302506,1,10
CSVI,30.0029652007133,1,10
CSVI,0.00059906598674,1,10
CSVI,29.9997669413527,1,10
CSVI,30.0021687579489,1,10
CSVI,-29.9862910712159,1,10
CSVI,29.9959950227527,1,10
CSVI,30.0034194531384,1,10
CSVI,-29.9985141163767,1,10
CSVI,-29.9924650145764,1,10
CSVI,30.0065325429676,1,10
CSVI,29.9930552171095,1,10
CSVI,-0.000382928935376,1,10
CSVI,30.0059688832217,1,10
CSVI,29.9937955882608,1,10
CSVI,-29.9998311700558,1,10
CSVI,29.9965419855231,1,10
CSVI,29.9979621366402,1,10
CSVI,-29.9939540509824,1,10
CSVI,30.0076710962467,1,10
CSVI,29.9891424538347,1,10
CSVI,-29.9941755523905,1,10
CSVI,30.0066999607307,1,10
CSVI,-29.9918369463408,1,10
CSVI,29.9891372124526,1,10
CSVI,29.9984513642786,1,10
CSVI,-30.0013815461316,1,10
CSVI,30.0007390900766,1,10
CSVI,-29.9987952660427,1,10
CSVI,29.9995862990928,1,10
CSVI,-29.9946654842857,1,10
CSVI,-30.0047976205868,1,10
CSVI,30.0025794027212,1,10
CSVI,-29.9901464332295,1,10
CSVI,29.9940091854592,1,10
CSVI,29.9973553277627,1,10
CSVI,-30.0052823300031,1,10
CSVI,30.0003318923033,1,10
CSVI,-30.0091291058138,1,10
CSVI,-29.9943424291491,1,10
CSVI,30.0036882829079,1,10
CSVI,29.9852478176171,1,10
CSVI,30.0066192209178,1,10
CSVI,-30.0024057263066,1,10
CSVI,30.0144346590692,1,10
CSVI,-29.9933067745271,1,10
CSVI,-30.0001971264848,1,10
CSVI,-0.006159213299347,1,10
CSVI,-29.9938161016181,1,10
CSVI,30.01681212272,1,10
CSVI,-29.9961087879262,1,10
CSVI,30.0056316647203,1,10
CSVI,30.0046300169398,1,10
CSVI,-0.005218590782197,1,10
CSVI,-29.9967852913805,1,10
CSVI,0.00357510369331,1,10
CSVI,-30.0007957633989,1,10
CSVI,-30.0002401015336,1,10
CSVI,0.004079687313868,1,10
CSVI,-30.0116862338773,1,10
CSVI,-0.000852066550543,1,10
CSVI,0.001000433096821,1,10
CSVI,-30.0009280501053,1,10
CSVI,-30.0034748964123,1,10
CSVI,-0.001836284264618,1,10
CSVI,29.9953905772932,1,10
CSVI,-0.002116366840962,1,10
CSVI,-30.0007508140804,1,10
CSVI,-30.0056058410812,1,10
CSVI,-29.9976979618981,1,10
CSVI,29.9972557600174,1,10
CSVI,29.9987873876011,1,10
CSVI,29.9912139086654,1,10
CSVI,29.9936639503454,1,10
CSVI,-30.0074702980381,1,10
CSVI,30.0012518252336,1,10
CSVI,-30.005136460832,1,10
CSVI,-29.9965719856193,1,10
CSVI,0.004435787577566,1,10
CSVI,30.0004011102417,1,20
CSVI,-0.001858521646976,1,20
CSVI,29.9956054749414,1,20
CSVI,30.0079338702312,1,20
CSVI,0.000294491503851,1,20
CSVI,-0.001451083176294,1,20
CSVI,-30.0031679656881,1,20
CSVI,-0.002965360369153,1,20
CSVI,30.003406141605,1,20
CSVI,-0.008938247923875,1,20
CSVI,29.9991833859863,1,20
CSVI,-29.9983519837599,1,20
CSVI,-30.0018461760769,1,20
CSVI,-30.0006203044464,1,20
CSVI,30.0013133057547,1,20
CSVI,-29.9929993577976,1,20
CSVI,29.9974402757502,1,20
CSVI,-29.9970881079479,1,20
CSVI,-0.003556169699693,1,20
CSVI,-29.9906012943334,1,20
CSVI,-30.0013879401931,1,20
CSVI,-30.0067906467453,1,20
CSVI,-30.0023472634604,1,20
CSVI,-30.0026829348977,1,20
CSVI,-0.001610686299634,1,20
CSVI,-30.0019416971805,1,20
CSVI,0.001316623507558,1,20
CSVI,-30.0049678307329,1,20
CSVI,30.0050853762248,1,20
CSVI,29.9941503348475,1,20
CSVI,30.0047703027639,1,20
CSVI,30.0004170564488,1,20
CSVI,29.9970847292346,1,20
CSVI,29.9962173311933,1,20
CSVI,-29.9853940905734,1,20
CSVI,0.000667223502162,1,20
CSVI,0.000900682700807,1,20
CSVI,-29.9973918101707,1,20
CSVI,29.9943167631492,1,20
CSVI,0.001318536969065,1,20
CSVI,0.001818972122055,1,20
CSVI,29.9972141417451,1,20
CSVI,-29.9977184012624,1,20
CSVI,-29.9976302060928,1,20
CSVI,-29.9950715938076,1,20
CSVI,-0.007947818063486,1,20
CSVI,0.004959705631325,1,20
CSVI,30.0031764794807,1,20
CSVI,29.9987267334914,1,20
CSVI,-30.0018048936509,1,20
CSVI,0.000223544900742,1,20
CSVI,-0.003917635937055,1,20
CSVI,-29.9936233188856,1,20
CSVI,0.000888173982879,1,20
CSVI,29.9892882723294,1,20
CSVI,-0.001266757487219,1,20
CSVI,-29.9989201304053,1,20
CSVI,-30.0064726026811,1,20
CSVI,-0.004802252113024,1,20
